                leaf          error rate             true nn           subdomain
               0.001               0.988              0.0018             966.822
               0.002              0.9884              0.0022             1933.59
               0.004              0.9886              0.0025             3867.19
               0.006              0.9886              0.0025             3867.19
               0.008              0.9871              0.0032             7734.39
                0.01              0.9871              0.0032             7734.39
               0.015              0.9871              0.0032             7734.39
                0.02               0.987              0.0038             15468.8
                0.03               0.987              0.0038             15468.8
                0.05              0.9848              0.0042             30937.5
