                leaf          error rate             true nn           subdomain
               0.001              0.9861              0.1731             966.788
               0.002              0.9858               0.222             1933.58
               0.004              0.9858              0.2805             3867.18
               0.006              0.9858              0.2805             3867.18
               0.008              0.9855              0.3484             7734.37
                0.01              0.9855              0.3484             7734.37
               0.015              0.9855              0.3484             7734.37
                0.02              0.9852              0.4196             15468.8
                0.03              0.9852              0.4196             15468.8
                0.05              0.9839              0.5005             30937.5
