                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1                   0              0.0317             745.078             12.8671
               0.002                 0.1                   0              0.0375             1242.17              10.714
               0.004                 0.1                   0              0.0546             3450.59             7.43259
               0.006                 0.1                   0              0.0546             3450.59             7.43259
               0.008                 0.1                   0              0.0654             5751.18             6.19347
                0.01                 0.1                   0              0.0654             5751.18             6.19347
               0.015                 0.1                   0              0.0809             9585.34             5.16051
                0.02                 0.1                   0              0.1005             15975.6             4.30006
                0.03                 0.1                   0              0.1291             26626.3             3.58334
                0.05                 0.1                   0              0.1705             44377.5             2.98605
